Trans_ID,Date,Store_ID,Product_ID,Customer_ID,Quantity,Total_Revenue,Unit_Cost,Category_Name,Avg_Region_Shipping_Cost,Shipping_Cost,Marketing_Cost,cat_monthly_sales,Net_Profit
18,2023-03-23 20:26:00,2.0,132,855,1,38000.0,23961.0,Printers,488.0,488.0,1502.3076923076924,156,12048.692307692309
19,2023-04-19 09:22:00,6.0,101,519,1,260000.0,167880.0,Computers,488.0,488.0,2149.875,75,89482.125
20,2025-01-04 17:18:00,9.0,117,593,1,290000.0,209699.0,Smartphones,650.05,650.05,695.7692307692307,299,78955.18076923076
21,2024-06-09 14:21:00,1.0,119,1036,1,2800.0,1695.0,Smartphones,650.05,650.05,868.448275862069,261,-413.4982758620689
22,2023-01-29 12:19:00,2.0,120,1068,3,4500.0,1029.0,Smartphones,992.3333333333334,992.3333333333334,1019.9466192170819,281,-599.2799525504153
23,2023-05-28 13:13:00,4.0,137,1051,2,4400.0,1422.0,Printers,992.3333333333334,992.3333333333334,1447.8370786516855,178,-884.1704119850189
24,2025-09-06 13:55:00,1.0,120,1102,1,1500.0,1029.0,Smartphones,992.3333333333334,992.3333333333334,1079.5921450151056,331,-1600.925478348439
25,2024-07-02 15:56:00,1.0,121,868,5,4000.0,526.0,Smartphones,992.3333333333334,992.3333333333334,1162.1134020618556,291,-784.446735395189
26,2024-07-02 17:20:00,8.0,110,88,1,24000.0,15039.0,Computers,488.0,488.0,2512.6875,80,5960.3125
27,2025-07-06 11:30:00,1.0,118,1012,2,7000.0,2473.0,Smartphones,488.0,488.0,1375.8510638297873,282,190.14893617021266
28,2025-01-14 17:17:00,7.0,124,559,1,48000.0,33033.0,Audio,488.0,488.0,447.3305084745763,118,14031.669491525423
29,2024-10-29 10:22:00,6.0,120,1179,2,3000.0,1029.0,Smartphones,488.0,488.0,1352.5763358778627,262,-898.5763358778627
30,2023-08-11 15:11:00,3.0,137,542,5,11000.0,1422.0,Printers,488.0,488.0,1014.7752808988764,178,2387.224719101124
31,2025-10-18 18:44:00,9.0,136,683,3,7500.0,1606.0,Printers,992.3333333333334,992.3333333333334,1244.8342541436464,181,444.83241252302014
32,2024-10-19 15:01:00,5.0,109,228,1,42000.0,31127.0,Computers,992.3333333333334,992.3333333333334,1409.234693877551,98,8471.431972789114
33,2025-05-09 15:32:00,1.0,135,500,1,12000.0,8606.0,Printers,488.0,488.0,1511.8211920529802,151,1394.1788079470198
34,2024-04-03 15:24:00,6.0,120,611,2,3000.0,1029.0,Smartphones,650.05,650.05,1653.4710743801652,242,-1361.5210743801651
35,2025-10-11 13:36:00,4.0,125,273,2,9000.0,3086.0,Audio,488.0,488.0,437.8378378378378,111,1902.162162162162
36,2025-09-27 15:31:00,1.0,133,216,1,45000.0,32905.0,Printers,650.05,650.05,1052.0689655172414,203,10392.88103448276
37,2023-06-26 10:01:00,5.0,137,80,5,11000.0,1422.0,Printers,488.0,488.0,1482.5892857142858,168,1919.4107142857142
38,2023-10-04 11:02:00,3.0,118,785,2,7000.0,2473.0,Smartphones,992.3333333333334,992.3333333333334,1183.7258687258686,259,-122.05920205920211
39,2025-06-23 19:05:00,3.0,133,471,1,45000.0,32905.0,Printers,992.3333333333334,992.3333333333334,851.9254658385094,161,10250.741200828157
40,2025-03-13 16:24:00,3.0,134,602,1,28000.0,17855.0,Printers,541.75,541.75,669.2957746478874,213,8933.954225352112
41,2025-02-22 12:13:00,11.0,137,530,3,6600.0,1422.0,Printers,488.0,488.0,1465.3636363636363,165,380.63636363636374
42,2024-08-10 09:36:00,10.0,115,1168,1,230000.0,161913.0,Smartphones,541.75,541.75,943.7986341059602,302,66601.45136589404
43,2024-01-20 12:30:00,5.0,109,831,1,42000.0,31127.0,Computers,992.3333333333334,992.3333333333334,1785.1973684210527,76,8095.469298245614
44,2023-01-08 15:53:00,3.0,119,1154,1,2800.0,1695.0,Smartphones,488.0,488.0,1019.9466192170819,281,-402.9466192170819
45,2024-08-30 12:23:00,6.0,119,957,2,5600.0,1695.0,Smartphones,488.0,488.0,943.7986341059602,302,778.2013658940398
46,2025-11-09 16:31:00,6.0,120,121,1,1500.0,1029.0,Smartphones,992.3333333333334,992.3333333333334,1621.5697674418604,258,-2142.9031007751937
47,2024-12-21 19:37:00,2.0,113,383,1,58000.0,37157.0,Smartphones,992.3333333333334,992.3333333333334,1326.0857142857142,350,18524.580952380955
48,2024-01-11 14:40:00,6.0,125,281,1,4500.0,3086.0,Audio,992.3333333333334,992.3333333333334,316.125,120,105.54166666666663
49,2025-01-04 12:34:00,1.0,121,936,1,800.0,526.0,Smartphones,992.3333333333334,992.3333333333334,695.7692307692307,299,-1414.102564102564
50,2025-01-31 16:26:00,4.0,118,38,2,7000.0,2473.0,Smartphones,488.0,488.0,695.7692307692307,299,870.2307692307693
51,2023-08-21 18:43:00,6.0,137,571,1,2200.0,1422.0,Printers,488.0,488.0,1014.7752808988764,178,-724.7752808988764
52,2025-05-21 13:48:00,3.0,126,269,1,24000.0,17991.0,Audio,488.0,488.0,512.3360655737705,122,5008.663934426229
53,2024-01-19 14:09:00,9.0,118,120,2,7000.0,2473.0,Smartphones,650.05,650.05,0.0,301,1403.95
54,2024-07-03 16:18:00,11.0,134,261,1,28000.0,17855.0,Printers,488.0,488.0,1054.7368421052631,171,8602.263157894737
55,2023-03-13 09:51:00,8.0,104,956,1,310000.0,196558.0,Computers,488.0,488.0,2277.732558139535,86,110676.26744186046
56,2025-02-21 13:59:00,3.0,136,110,5,12500.0,1606.0,Printers,650.05,650.05,1465.3636363636363,165,2354.586363636364
57,2025-03-08 12:17:00,1.0,127,185,1,9500.0,6907.0,Audio,488.0,488.0,349.82608695652175,115,1755.1739130434783
58,2024-12-10 18:13:00,8.0,137,866,2,4400.0,1422.0,Printers,488.0,488.0,1616.590909090909,198,-548.590909090909
59,2024-06-09 10:40:00,3.0,110,852,1,24000.0,15039.0,Computers,992.3333333333334,992.3333333333334,2041.6666666666667,81,5927.0
60,2024-01-11 11:07:00,4.0,111,296,1,185000.0,117065.0,Smartphones,650.05,650.05,0.0,301,67284.95
61,2025-07-30 17:31:00,2.0,133,1156,1,45000.0,32905.0,Printers,650.05,650.05,920.9815950920246,163,10523.968404907977
62,2024-02-20 17:45:00,5.0,120,854,3,4500.0,1029.0,Smartphones,992.3333333333334,992.3333333333334,1371.3962264150944,265,-950.7295597484277
63,2023-07-05 11:12:00,1.0,121,327,3,2400.0,526.0,Smartphones,992.3333333333334,992.3333333333334,953.2681856187291,299,-1123.6015189520626
64,2025-07-05 17:36:00,1.0,133,700,1,45000.0,32905.0,Printers,488.0,488.0,920.9815950920246,163,10686.018404907976
65,2023-04-21 15:03:00,4.0,137,962,1,2200.0,1422.0,Printers,992.3333333333334,992.3333333333334,1197.295081967213,183,-1411.6284153005463
66,2025-10-10 20:45:00,4.0,121,624,1,800.0,526.0,Smartphones,992.3333333333334,992.3333333333334,0.0,286,-718.3333333333334
67,2024-01-11 20:36:00,2.0,118,367,5,17500.0,2473.0,Smartphones,541.75,541.75,0.0,301,4593.25
68,2023-11-24 12:51:00,1.0,113,826,1,58000.0,37157.0,Smartphones,541.75,541.75,1262.457337883959,293,19038.79266211604
69,2024-11-24 10:28:00,10.0,120,227,1,1500.0,1029.0,Smartphones,541.75,541.75,1701.774193548387,279,-1772.524193548387
70,2024-06-11 12:36:00,4.0,126,746,1,24000.0,17991.0,Audio,488.0,488.0,311.0,135,5210.0
71,2023-12-10 11:26:00,10.0,118,968,1,3500.0,2473.0,Smartphones,488.0,488.0,1777.9787234042553,329,-1238.9787234042553
72,2023-02-26 10:00:00,8.0,129,1017,1,68000.0,46007.0,Cameras,488.0,488.0,2900.0,27,18605.0
73,2024-07-19 11:38:00,5.0,119,181,2,5600.0,1695.0,Smartphones,541.75,541.75,1162.1134020618556,291,506.1365979381444
74,2025-06-30 13:57:00,5.0,104,704,1,310000.0,196558.0,Computers,488.0,488.0,2466.268656716418,67,110487.73134328358
75,2025-06-28 09:48:00,2.0,120,413,1,1500.0,1029.0,Smartphones,488.0,488.0,1282.764705882353,255,-1299.764705882353
76,2024-06-08 20:05:00,9.0,118,51,5,17500.0,2473.0,Smartphones,488.0,488.0,868.448275862069,261,3778.551724137931
77,2025-01-21 09:34:00,3.0,137,700,2,4400.0,1422.0,Printers,488.0,488.0,1524.4736842105262,171,-456.47368421052624
78,2024-04-30 16:26:00,7.0,125,699,3,13500.0,3086.0,Audio,650.05,650.05,315.873786407767,103,3276.0762135922328
79,2023-11-06 15:57:00,1.0,121,238,3,2400.0,526.0,Smartphones,488.0,488.0,1262.457337883959,293,-928.4573378839591
80,2024-06-16 20:55:00,1.0,137,782,1,2200.0,1422.0,Printers,541.75,541.75,1146.6768292682927,164,-910.4268292682927
81,2023-03-11 11:00:00,5.0,118,423,1,3500.0,2473.0,Smartphones,541.75,541.75,931.9879518072289,249,-446.7379518072289
82,2025-10-25 19:42:00,5.0,129,400,1,68000.0,46007.0,Cameras,992.3333333333334,992.3333333333334,1298.918918918919,37,19701.747747747748
83,2024-05-01 16:22:00,2.0,121,547,1,800.0,526.0,Smartphones,541.75,541.75,729.0,300,-996.75
84,2023-07-04 20:03:00,2.0,119,1157,2,5600.0,1695.0,Smartphones,992.3333333333334,992.3333333333334,953.2681856187291,299,264.39848104793737
85,2025-08-26 19:51:00,1.0,118,954,1,3500.0,2473.0,Smartphones,541.75,541.75,1151.4705882352941,289,-666.2205882352941
86,2023-08-25 10:33:00,3.0,120,557,1,1500.0,1029.0,Smartphones,992.3333333333334,992.3333333333334,1083.8709677419354,279,-1605.2043010752686
87,2023-01-08 18:11:00,12.0,112,90,1,38000.0,25796.0,Smartphones,488.0,488.0,1019.9466192170819,281,10696.053380782918
88,2024-06-08 12:22:00,2.0,121,558,2,1600.0,526.0,Smartphones,650.05,650.05,868.448275862069,261,-970.4982758620689
89,2024-10-20 18:48:00,3.0,121,390,1,800.0,526.0,Smartphones,992.3333333333334,992.3333333333334,1352.5763358778627,262,-2070.909669211196
90,2024-06-25 12:27:00,8.0,119,551,3,8400.0,1695.0,Smartphones,992.3333333333334,992.3333333333334,868.448275862069,261,1454.2183908045977
91,2025-09-05 14:18:00,12.0,118,452,2,7000.0,2473.0,Smartphones,541.75,541.75,1079.5921450151056,331,432.65785498489436
92,2023-08-06 18:45:00,4.0,130,655,1,130000.0,83075.0,Cameras,650.05,650.05,1957.5,26,44317.45
93,2025-05-15 11:24:00,2.0,120,355,2,3000.0,1029.0,Smartphones,488.0,488.0,659.0415335463259,313,-205.04153354632592
94,2024-01-02 15:06:00,7.0,113,470,1,58000.0,37157.0,Smartphones,488.0,488.0,0.0,301,20355.0
95,2025-07-21 18:35:00,4.0,136,583,2,5000.0,1606.0,Printers,488.0,488.0,920.9815950920246,163,379.0184049079754
96,2024-07-21 12:55:00,7.0,137,1013,1,2200.0,1422.0,Printers,992.3333333333334,992.3333333333334,1054.7368421052631,171,-1269.0701754385964
97,2023-12-03 16:47:00,1.0,125,430,3,13500.0,3086.0,Audio,650.05,650.05,601.2765957446809,141,2990.673404255319
98,2023-09-07 12:07:00,3.0,126,490,1,24000.0,17991.0,Audio,488.0,488.0,462.11538461538464,130,5058.884615384615
99,2024-08-13 14:39:00,3.0,137,505,2,4400.0,1422.0,Printers,488.0,488.0,993.8793103448276,174,74.12068965517244
100,2024-10-05 11:37:00,1.0,109,711,1,42000.0,31127.0,Computers,488.0,488.0,1409.234693877551,98,8975.765306122448
101,2025-06-24 10:09:00,3.0,124,452,1,48000.0,33033.0,Audio,541.75,541.75,264.75728155339806,103,14160.492718446601
102,2024-11-11 17:37:00,1.0,124,47,1,48000.0,33033.0,Audio,488.0,488.0,803.4146341463414,123,13675.585365853658
103,2024-02-11 19:49:00,1.0,113,928,1,58000.0,37157.0,Smartphones,650.05,650.05,1371.3962264150944,265,18821.553773584907
104,2025-07-03 11:08:00,4.0,123,929,1,9500.0,7113.0,Audio,488.0,488.0,268.9024390243902,123,1630.0975609756097
105,2025-08-01 11:47:00,3.0,120,999,1,1500.0,1029.0,Smartphones,650.05,650.05,1151.4705882352941,289,-1330.520588235294
106,2023-04-06 20:11:00,7.0,137,766,3,6600.0,1422.0,Printers,992.3333333333334,992.3333333333334,1197.295081967213,183,144.37158469945348
107,2023-07-29 11:21:00,1.0,119,298,1,2800.0,1695.0,Smartphones,650.05,650.05,953.2681856187291,299,-498.3181856187291
108,2023-08-08 18:52:00,7.0,118,799,2,7000.0,2473.0,Smartphones,488.0,488.0,1083.8709677419354,279,482.1290322580646
109,2025-03-30 12:40:00,7.0,125,1021,2,9000.0,3086.0,Audio,541.75,541.75,349.82608695652175,115,1936.4239130434783
110,2023-09-26 14:05:00,3.0,121,1190,1,800.0,526.0,Smartphones,541.75,541.75,1242.84375,320,-1510.59375
111,2025-11-29 14:49:00,5.0,125,542,3,13500.0,3086.0,Audio,488.0,488.0,438.0612244897959,98,3315.9387755102043
112,2023-10-05 18:37:00,5.0,136,914,3,7500.0,1606.0,Printers,992.3333333333334,992.3333333333334,1046.4406779661017,177,643.2259887005648
113,2024-11-21 14:07:00,2.0,108,107,1,48000.0,31082.0,Computers,650.05,650.05,3593.3823529411766,68,12674.567647058824
114,2025-12-05 20:06:00,9.0,120,1028,2,3000.0,1029.0,Smartphones,488.0,488.0,1337.5384615384614,325,-883.5384615384614
115,2024-05-26 20:41:00,2.0,135,949,1,12000.0,8606.0,Printers,992.3333333333334,992.3333333333334,842.1428571428571,189,1559.5238095238094
116,2024-12-12 16:48:00,2.0,137,103,2,4400.0,1422.0,Printers,488.0,488.0,1616.590909090909,198,-548.590909090909
117,2025-04-16 20:13:00,5.0,136,685,3,7500.0,1606.0,Printers,488.0,488.0,1410.5172413793102,145,783.4827586206898
118,2023-05-29 11:57:00,1.0,118,639,1,3500.0,2473.0,Smartphones,650.05,650.05,650.1869158878504,321,-273.2369158878504
119,2023-12-02 09:46:00,5.0,121,694,1,800.0,526.0,Smartphones,488.0,488.0,1777.9787234042553,329,-1991.9787234042553
120,2023-05-09 12:09:00,7.0,133,7,1,45000.0,32905.0,Printers,488.0,488.0,1447.8370786516855,178,10159.162921348314
121,2024-08-11 16:39:00,8.0,119,924,2,5600.0,1695.0,Smartphones,650.05,650.05,943.7986341059602,302,616.1513658940398
122,2024-01-23 13:15:00,1.0,136,857,2,5000.0,1606.0,Printers,488.0,488.0,1561.5548780487804,164,-261.55487804878044
123,2023-09-06 10:11:00,1.0,126,717,1,24000.0,17991.0,Audio,541.75,541.75,462.11538461538464,130,5005.134615384615
124,2024-12-19 14:55:00,1.0,112,505,1,38000.0,25796.0,Smartphones,488.0,488.0,1326.0857142857142,350,10389.914285714285
125,2023-12-31 18:01:00,6.0,125,750,2,9000.0,3086.0,Audio,488.0,488.0,601.2765957446809,141,1738.723404255319
126,2024-06-23 13:16:00,6.0,120,448,3,4500.0,1029.0,Smartphones,488.0,488.0,868.448275862069,261,56.551724137931046
127,2025-01-15 15:13:00,2.0,119,215,1,2800.0,1695.0,Smartphones,992.3333333333334,992.3333333333334,695.7692307692307,299,-583.1025641025641
128,2025-12-10 11:49:00,1.0,126,808,1,24000.0,17991.0,Audio,488.0,488.0,436.875,144,5084.125
129,2024-10-06 09:15:00,1.0,120,572,3,4500.0,1029.0,Smartphones,488.0,488.0,1352.5763358778627,262,-427.5763358778627
130,2023-09-22 12:10:00,1.0,118,161,3,10500.0,2473.0,Smartphones,488.0,488.0,1242.84375,320,1350.15625
131,2025-05-31 19:58:00,1.0,133,826,1,45000.0,32905.0,Printers,541.75,541.75,1511.8211920529802,151,10041.42880794702
132,2024-03-19 11:00:00,5.0,118,984,5,17500.0,2473.0,Smartphones,488.0,488.0,1170.989010989011,273,3476.010989010989
133,2024-06-06 10:58:00,1.0,113,828,1,58000.0,37157.0,Smartphones,488.0,488.0,868.448275862069,261,19486.55172413793
134,2024-08-23 18:42:00,1.0,119,77,2,5600.0,1695.0,Smartphones,992.3333333333334,992.3333333333334,943.7986341059602,302,273.8680325607063
135,2025-05-03 09:28:00,4.0,121,833,3,2400.0,526.0,Smartphones,992.3333333333334,992.3333333333334,659.0415335463259,313,-829.3748668796593
136,2024-06-29 12:03:00,10.0,112,297,1,38000.0,25796.0,Smartphones,992.3333333333334,992.3333333333334,868.448275862069,261,10343.218390804597
137,2025-03-19 15:33:00,6.0,118,442,1,3500.0,2473.0,Smartphones,488.0,488.0,687.234375,320,-148.234375
138,2023-07-10 11:56:00,6.0,109,165,1,42000.0,31127.0,Computers,488.0,488.0,2432.1774193548385,62,7952.822580645161
139,2024-05-05 10:28:00,6.0,110,1092,1,24000.0,15039.0,Computers,541.75,541.75,2528.3571428571427,70,5890.892857142857
140,2025-07-18 16:10:00,3.0,137,577,3,6600.0,1422.0,Printers,541.75,541.75,920.9815950920246,163,871.2684049079754
141,2025-05-31 16:37:00,10.0,125,276,3,13500.0,3086.0,Audio,488.0,488.0,512.3360655737705,122,3241.6639344262294
142,2024-03-26 20:31:00,5.0,136,525,1,2500.0,1606.0,Printers,650.05,650.05,1427.9142857142858,175,-1183.9642857142858
143,2023-02-26 17:45:00,1.0,137,526,2,4400.0,1422.0,Printers,541.75,541.75,1261.1612903225807,155,-246.91129032258073
144,2025-11-23 13:39:00,4.0,136,393,3,7500.0,1606.0,Printers,650.05,650.05,1233.0,165,798.95
145,2023-05-14 10:31:00,1.0,114,644,1,75000.0,53367.0,Smartphones,488.0,488.0,650.1869158878504,321,20494.81308411215
146,2025-01-07 12:04:00,10.0,119,641,5,14000.0,1695.0,Smartphones,992.3333333333334,992.3333333333334,695.7692307692307,299,3836.8974358974365
147,2024-12-27 13:45:00,1.0,118,755,1,3500.0,2473.0,Smartphones,488.0,488.0,1326.0857142857142,350,-787.0857142857142
148,2025-06-15 17:02:00,2.0,108,586,1,48000.0,31082.0,Computers,650.05,650.05,2466.268656716418,67,13801.681343283582
149,2024-12-26 10:41:00,1.0,102,507,1,195000.0,141052.0,Computers,650.05,650.05,2329.8387096774195,93,50968.11129032258
150,2023-12-31 20:56:00,11.0,136,262,2,5000.0,1606.0,Printers,488.0,488.0,1190.076923076923,195,109.9230769230769
151,2025-05-31 17:06:00,9.0,135,1059,1,12000.0,8606.0,Printers,541.75,541.75,1511.8211920529802,151,1340.4288079470198
152,2024-03-04 13:31:00,8.0,120,1080,1,1500.0,1029.0,Smartphones,488.0,488.0,1170.989010989011,273,-1187.989010989011
153,2024-07-04 16:29:00,1.0,120,62,1,1500.0,1029.0,Smartphones,541.75,541.75,1162.1134020618556,291,-1232.8634020618556
154,2023-11-16 17:51:00,3.0,123,484,1,9500.0,7113.0,Audio,488.0,488.0,762.0967741935484,124,1136.9032258064517
155,2023-02-07 17:06:00,8.0,136,1042,1,2500.0,1606.0,Printers,488.0,488.0,1261.1612903225807,155,-855.1612903225807
156,2023-07-22 17:27:00,1.0,119,1065,1,2800.0,1695.0,Smartphones,992.3333333333334,992.3333333333334,953.2681856187291,299,-840.6015189520625
157,2025-05-27 11:31:00,2.0,137,541,1,2200.0,1422.0,Printers,488.0,488.0,1511.8211920529802,151,-1221.8211920529802
158,2023-11-14 10:00:00,4.0,101,934,1,260000.0,167880.0,Computers,488.0,488.0,2284.6153846153848,78,89347.38461538461
159,2023-12-20 19:41:00,1.0,128,208,1,58000.0,37743.0,Cameras,541.75,541.75,3245.0,27,16470.25
160,2025-06-04 15:04:00,2.0,119,535,2,5600.0,1695.0,Smartphones,488.0,488.0,1282.764705882353,255,439.2352941176471
161,2023-07-25 10:20:00,3.0,108,1129,1,48000.0,31082.0,Computers,488.0,488.0,2432.1774193548385,62,13997.822580645161
162,2024-07-01 17:23:00,3.0,112,415,1,38000.0,25796.0,Smartphones,488.0,488.0,1162.1134020618556,291,10553.886597938144
163,2025-02-02 16:17:00,2.0,137,210,3,6600.0,1422.0,Printers,541.75,541.75,1465.3636363636363,165,326.88636363636374
164,2023-09-30 10:46:00,6.0,137,1098,5,11000.0,1422.0,Printers,992.3333333333334,992.3333333333334,839.431279620853,211,2058.2353870458137
165,2023-04-24 10:17:00,1.0,136,909,2,5000.0,1606.0,Printers,488.0,488.0,1197.295081967213,183,102.70491803278696
166,2025-03-07 14:33:00,6.0,137,234,3,6600.0,1422.0,Printers,488.0,488.0,669.2957746478874,213,1176.7042253521126
167,2025-10-28 19:39:00,1.0,119,844,3,8400.0,1695.0,Smartphones,488.0,488.0,0.0,286,2827.0
168,2024-09-29 18:32:00,2.0,113,373,1,58000.0,37157.0,Smartphones,541.75,541.75,925.591054313099,313,19375.6589456869
169,2025-11-29 19:10:00,1.0,121,1161,1,800.0,526.0,Smartphones,992.3333333333334,992.3333333333334,1621.5697674418604,258,-2339.9031007751937
170,2024-06-17 09:22:00,3.0,134,579,1,28000.0,17855.0,Printers,488.0,488.0,1146.6768292682927,164,8510.323170731706
171,2025-03-27 13:40:00,1.0,121,1005,1,800.0,526.0,Smartphones,488.0,488.0,687.234375,320,-901.234375
172,2024-09-11 14:08:00,3.0,113,483,1,58000.0,37157.0,Smartphones,541.75,541.75,925.591054313099,313,19375.6589456869
173,2024-06-24 12:50:00,3.0,136,388,5,12500.0,1606.0,Printers,992.3333333333334,992.3333333333334,1146.6768292682927,164,2330.9898373983738
174,2025-08-23 16:16:00,11.0,100,63,1,125000.0,87901.0,Computers,541.75,541.75,2025.0,90,34532.25
175,2023-04-10 16:51:00,2.0,120,755,2,3000.0,1029.0,Smartphones,488.0,488.0,1542.621951219512,246,-1088.621951219512
176,2024-03-09 10:20:00,1.0,132,266,1,38000.0,23961.0,Printers,992.3333333333334,992.3333333333334,1427.9142857142858,175,11618.752380952381
177,2023-02-16 12:16:00,4.0,106,939,1,320000.0,198987.0,Computers,541.75,541.75,2484.7297297297296,74,117986.52027027027
178,2023-10-11 11:17:00,1.0,119,323,1,2800.0,1695.0,Smartphones,488.0,488.0,1183.7258687258686,259,-566.7258687258686
179,2023-12-28 17:49:00,2.0,111,20,1,185000.0,117065.0,Smartphones,992.3333333333334,992.3333333333334,1777.9787234042553,329,65164.68794326242
180,2023-01-31 18:34:00,4.0,125,324,3,13500.0,3086.0,Audio,650.05,650.05,522.5431034482758,116,3069.406896551724
181,2025-06-24 11:23:00,3.0,137,1070,2,4400.0,1422.0,Printers,488.0,488.0,851.9254658385094,161,216.07453416149065
182,2023-07-13 20:49:00,6.0,113,801,1,58000.0,37157.0,Smartphones,992.3333333333334,992.3333333333334,953.2681856187291,299,18897.398481047938
183,2023-02-09 15:40:00,7.0,118,736,1,3500.0,2473.0,Smartphones,650.05,650.05,1258.9655172413793,261,-882.0155172413793
184,2024-02-10 10:20:00,1.0,112,37,1,38000.0,25796.0,Smartphones,488.0,488.0,1371.3962264150944,265,10344.603773584906
185,2025-10-02 16:00:00,6.0,133,670,1,45000.0,32905.0,Printers,488.0,488.0,1244.8342541436464,181,10362.165745856353
186,2023-02-05 20:47:00,5.0,120,1087,5,7500.0,1029.0,Smartphones,488.0,488.0,1258.9655172413793,261,608.0344827586207
187,2023-10-22 13:45:00,1.0,121,407,1,800.0,526.0,Smartphones,650.05,650.05,1183.7258687258686,259,-1559.7758687258686
188,2024-02-14 18:08:00,2.0,136,964,5,12500.0,1606.0,Printers,992.3333333333334,992.3333333333334,1321.875,192,2155.7916666666665
189,2024-10-04 12:11:00,2.0,121,652,2,1600.0,526.0,Smartphones,650.05,650.05,1352.5763358778627,262,-1454.6263358778626
190,2024-07-19 15:02:00,3.0,118,1069,1,3500.0,2473.0,Smartphones,541.75,541.75,1162.1134020618556,291,-676.8634020618556
191,2023-07-12 09:53:00,1.0,136,828,1,2500.0,1606.0,Printers,488.0,488.0,1338.4943181818182,176,-932.4943181818182
192,2025-11-08 15:14:00,3.0,134,843,1,28000.0,17855.0,Printers,488.0,488.0,1233.0,165,8424.0
193,2023-09-10 10:21:00,9.0,128,889,1,58000.0,37743.0,Cameras,541.75,541.75,1559.032258064516,31,18156.217741935485
194,2023-08-07 14:45:00,1.0,107,624,1,65000.0,40453.0,Computers,992.3333333333334,992.3333333333334,1888.2911392405063,79,21666.37552742616
195,2024-09-24 11:01:00,6.0,137,731,3,6600.0,1422.0,Printers,488.0,488.0,1236.0550458715597,218,609.9449541284403
196,2025-12-12 09:49:00,7.0,127,1123,1,9500.0,6907.0,Audio,488.0,488.0,436.875,144,1668.125
197,2025-04-15 10:49:00,4.0,127,448,1,9500.0,6907.0,Audio,488.0,488.0,398.671875,128,1706.328125
198,2023-08-06 17:23:00,5.0,118,547,1,3500.0,2473.0,Smartphones,541.75,541.75,1083.8709677419354,279,-598.6209677419354
199,2023-12-31 09:45:00,1.0,120,108,2,3000.0,1029.0,Smartphones,488.0,488.0,1777.9787234042553,329,-1323.9787234042553
200,2025-11-16 09:19:00,5.0,119,134,1,2800.0,1695.0,Smartphones,488.0,488.0,1621.5697674418604,258,-1004.5697674418604
201,2025-04-24 14:59:00,5.0,118,732,2,7000.0,2473.0,Smartphones,541.75,541.75,794.3023255813954,258,717.9476744186046
202,2025-08-07 10:35:00,5.0,118,460,2,7000.0,2473.0,Smartphones,488.0,488.0,1151.4705882352941,289,414.52941176470586
203,2025-02-09 18:40:00,9.0,125,536,1,4500.0,3086.0,Audio,488.0,488.0,0.0,119,926.0
